airports,airports_locations
"Fort Myers, FL","(26.640628, -81.8723084)"
"Savannah, GA","(9.7568312, -2.4962)"
"Deadhorse, AK","(70.2006973, -148.4598151)"
"Fairfield, CA","(38.2493581, -122.039966)"
"Sioux City, IA","(42.4966815, -96.4058782)"
"Noatak, AK","(67.582668, -162.99357861453242)"
"Allentown/Bethlehem/Easton, PA","(40.651163100000005, -75.44225386838299)"
"Waco, TX","(31.549333, -97.1466695)"
"Camp Springs, MD","(38.8020265, -76.92432326361894)"
"Alexandria, LA","(31.199004, 29.894378)"
"Wainwright, AK","(70.6369444, -160.0383333)"
"Appleton, WI","(44.2611337, -88.4067604)"
"Bangor, ME","(44.8011821, -68.7778138)"
"Kansas City, MO","(39.100105, -94.5781416)"
"Macon, GA","(39.8333574, -88.8637186)"
"Bristol/Johnson City/Kingsport, TN","(51.4538022, -2.5972985)"
"Victorville, CA","(34.5361067, -117.2911565)"
"Bakersfield, CA","(35.3738712, -119.0194639)"
"Bismarck/Mandan, ND","(46.8027807, -100.8265575)"
"Beaumont/Port Arthur, TX","(29.948825, -93.980509)"
"Baton Rouge, LA","(30.4459596, -91.18738)"
"Burbank, CA","(34.1816482, -118.3258554)"
"Akron, OH","(41.083064, -81.518485)"
"Columbus, OH","(39.9622601, -83.0007065)"
"Colorado Springs, CO","(38.8339578, -104.8253485)"
"Corpus Christi, TX","(27.7477253, -97.4014129)"
"Washington, DC","(38.8950368, -77.0365427)"
"Houston, TX","(29.7589382, -95.3676974)"
"Wichita, KS","(37.6922361, -97.3375448)"
"Killeen, TX","(31.1171441, -97.727796)"
"Iliamna, AK","(59.7532274, -154.8230265)"
"Wilmington, NC","(34.2257282, -77.9447107)"
"Indianapolis, IN","(39.9162861, -86.05267778244621)"
"Islip, NY","(40.7304311, -73.2108618)"
"Jackson/Vicksburg, MS","(32.3634206, -90.8390423)"
"Jacksonville, FL","(30.3321838, -81.655651)"
"New York, NY","(40.7127281, -74.0060152)"
"Johnston Island, TT","(10.6676718, -61.530669)"
"Kaltag, AK","(64.3276089, -158.7254198)"
"St. Mary's, AK","(62.0524065, -163.1726947)"
"Lafayette, IN","(40.4034666, -86.89042330119949)"
"Las Vegas, NV","(36.1672559, -115.1485163)"
"Los Angeles, CA","(34.0536909, -118.242766)"
"Dallas, TX","(32.7762719, -96.7968559)"
"Dayton, OH","(39.7589478, -84.1916069)"
"Denver, CO","(5.3428475, -72.3959849)"
"Dallas/Fort Worth, TX","(32.7350626, -97.357127)"
"Dillingham, AK","(59.0397222, -158.4575)"
"Des Moines, IA","(41.5910323, -93.6046655)"
"Eagle, AK","(64.7853016, -141.207287)"
"Pueblo, CO","(10.96111255, -74.84069626468596)"
"Santa Barbara, CA","(34.4221319, -119.7026673)"
"Sandpoint, AK","(48.2764307, -116.5456264)"
"Shreveport, LA","(32.5221828, -93.7651944)"
"Santa Ana, CA","(33.7494951, -117.8732213)"
"Sarasota/Bradenton, FL","(27.395988350000003, -82.55407423064528)"
"Springfield, IL","(39.7990175, -89.6439575)"
"Anderson, IN","(39.0168, -121.413546)"
"Alamosa, CO","(37.5780995, -105.7890452)"
"Scranton/Wilkes-Barre, PA","(41.33709205, -75.72257122928625)"
"Brownsville, TX","(25.9140256, -97.4890856)"
"Bowling Green, KY","(36.9903199, -86.4436018)"
"Cedar City, UT","(37.6774238, -113.0618277)"
"Lexington, KY","(38.0464066, -84.4970393)"
"Lafayette, LA","(30.2240897, -92.0198427)"
"Little Rock, AR","(34.7464809, -92.2895948)"
"Lincoln, NE","(40.8088861, -96.7077751)"
"Laredo, TX","(27.5199841, -99.4953764)"
"Ely, MN","(47.9032372, -91.8670873)"
"Mackinac Island, MI","(45.8492045, -84.6196721)"
"Athens, TN","(35.4428864, -84.5930113)"
"Hays, KS","(38.8791783, -99.3267702)"
"Winston-Salem, NC","(36.0998131, -80.2440518)"
"Koyukuk, AK","(64.8956515, -157.69742699347248)"
"Lansing, MI","(42.7337712, -84.5553805)"
"Lubbock, TX","(33.5635206, -101.879336)"
"Long Beach, CA","(33.7690164, -118.191604)"
"Midland/Odessa, TX","(31.8329723, -102.3606957)"
"Saginaw/Bay City/Midland, MI","(43.4200387, -83.9490365)"
"McGrath, AK","(62.9563889, -155.5958333)"
"Rice Lake, WI","(45.5027976, -91.7331646)"
"Roswell, NM","(33.3943282, -104.5229518)"
"State College, PA","(40.7944504, -77.8616386)"
"Selma, AL","(32.4078632, -87.0207473)"
"Sanford, FL","(28.8117297, -81.2680345)"
"Sikeston, MO","(36.876719, -89.5878579)"
"San Angelo, TX","(31.4648357, -100.4398442)"
"Fort Lauderdale, FL","(26.1223084, -80.1433786)"
"Flint, MI","(43.0161693, -83.6900211)"
"Sioux Falls, SD","(43.549973, -96.7003324)"
"Fort Wayne, IN","(42.2977994, -83.09864240939409)"
"Fort Yukon, AK","(66.5647222, -145.273888)"
"Galena, AK","(64.7335531, -156.9316199)"
"Spokane, WA","(47.6571934, -117.4235106)"
"Grand Junction, CO","(39.063956, -108.5507317)"
"Greenville, SC","(34.851354, -82.3984882)"
"Grand Rapids, MI","(42.9632405, -85.6678639)"
"Greer, SC","(34.9381361, -82.2272119)"
"Great Falls, MT","(47.5048851, -111.29189)"
"Honolulu, HI","(21.304547, -157.8556764)"
"White Plains, NY","(41.0339862, -73.7629097)"
"Huslia, AK","(65.7006862, -156.3953448)"
"Huntsville, AL","(34.729847, -86.5859011)"
"Hughes, AK","(66.05482599999999, -154.2311846666158)"
"St. Petersburg, FL","(27.7703796, -82.6695085)"
"Parkersburg, WV","(39.2699565, -81.5506916)"
"Pontiac, MI","(42.6389216, -83.2910468)"
"Harlingen/San Benito, TX","(26.1908241, -97.6959794)"
"Ashland, WV","(37.4084488, -81.3526017)"
"Idaho Falls, ID","(43.4935589, -112.0401206)"
"Wilmington, DE","(39.7459468, -75.546589)"
"Williamsport, PA","(41.2493292, -77.0027671)"
"Hilo, HI","(19.7073734, -155.0815803)"
"Jackson, WY","(32.2990384, -90.1847691)"
"Joplin, MO","(37.08418, -94.51323)"
"Beloit/Janesville, WI","(42.6699942, -89.0111556)"
"Birch Creek, AK","(66.27010200000001, -145.8555690295132)"
"Kotlik, AK","(63.029911999999996, -163.5551512456023)"
"North Platte, NE","(41.1238873, -100.7654232)"
"Muskegon, MI","(43.2341813, -86.2483921)"
"Marinette, MI","(45.0999594, -87.6307265)"
"Martinsburg, WV","(39.4562528, -77.9639604)"
"Oscoda, MI","(44.6789109, -84.1467693)"
"Rhinelander, WI","(45.636623, -89.412075)"
"St. Cloud, MN","(45.5616075, -94.1642004)"
"Coalinga, CA","(36.139678, -120.3601496)"
"Cincinnati, OH","(39.1014537, -84.5124602)"
"Eagle, CO","(39.6161124, -106.7172844)"
"Dothan, AL","(31.2237434, -85.3933906)"
"Durango, CO","(24.833333, -104.833333)"
"Kenosha, WI","(42.5846773, -87.8212263)"
"Erie, PA","(42.1294712, -80.0852695)"
"Eugene, OR","(44.0505054, -123.0950506)"
"Newton, KS","(38.0469166, -97.3447244)"
"Greensboro/High Point, NC","(35.9818956, -79.9754525)"
"Guam, TT","(13.486490199999999, 144.80206025352555)"
"Hayden, CO","(46.5383332, 12.1373506)"
"Kona, HI","(19.743906, -156.0422959812206)"
"Cold Bay, AK","(55.199447500000005, -162.74047820061134)"
"Chattanooga, TN","(35.0457219, -85.3094883)"
"Circle Hot Springs, AK","(65.4833333, -144.6341667)"
"College Station/Bryan, TX","(30.669727, -96.336353)"
"Coldfoot, AK","(67.234505, -150.05947184434245)"
"Cheyenne, WY","(41.139981, -104.820246)"
"Lihue, HI","(21.9769622, -159.3687721)"
"Fresno, CA","(36.7295295, -119.70886126075588)"
"Fayetteville, NC","(35.0525759, -78.878292)"
"Goodland, KS","(39.350833, -101.7101722)"
"Gulfport/Biloxi, MS","(30.40711375, -89.07143302103171)"
"Grand Rapids, MN","(47.237166, -93.530214)"
"Kiana, AK","(66.9721715, -160.4388711)"
"Lake Charles, LA","(30.2265949, -93.2173759)"
"Wenatchee, WA","(47.4234599, -120.3103494)"
"Kenai, AK","(60.5544444, -151.2583333)"
"Fargo, ND","(46.877229, -96.789821)"
"Gold Beach, OR","(42.4074459, -124.4217418)"
"Goodyear, AZ","(33.4353672, -112.3576005)"
"Hopkinsville, KY","(36.8657651, -87.4889532)"
"Salina, KS","(38.8402805, -97.6114237)"
"Toledo, OH","(41.6529143, -83.5378173)"
"Cody, WY","(44.5263107, -109.056392)"
"Charleston/Dunbar, WV","(38.3616659, -81.7207214)"
"Mosinee, WI","(44.7927298, -89.7035959)"
"Evansville, IN","(37.9386712, -87.518899)"
"Farmington, NM","(36.7291152, -108.2054451)"
"Green Bay, WI","(44.5126379, -88.0125794)"
"Gunnison, CO","(38.6476702, -107.0603126)"
"Gary, IN","(39.03962235, -94.81044158205768)"
"Port Clarence, AK","(65.15422699999999, -166.93396836069672)"
"Mansfield, OH","(40.75839, -82.5154471)"
"Jackson, TN","(35.6144446, -88.8177418)"
"Moline, IL","(41.5067003, -90.5151342)"
"Smyrna, TN","(35.9824598, -86.5199492)"
"Melbourne, FL","(28.106471, -80.6371513)"
"Minto, AK","(65.12155849999999, -149.52486084696653)"
"Mattoon/Charleston, IL","(39.4797189, -88.3215233)"
"Nuiqsut, AK","(70.2184286, -150.991424)"
"Kokomo/Logansport/Peru, IN","(40.4864444, -86.1336351)"
"Panama City, FL","(30.1600827, -85.6545729)"
"Columbus, MS","(33.4956744, -88.4272627)"
"Hickory, NC","(35.7333312, -81.3442915)"
"Scottsbluff, NE","(41.862302, -103.6627088)"
"Mobile, AL","(30.6943566, -88.0430541)"
"Blytheville, AR","(35.9272953, -89.9189754)"
"Columbia, TN","(35.6150716, -87.0352831)"
"Moses Lake, WA","(47.1301417, -119.2780771)"
"Wapakoneta, OH","(40.5678265, -84.1935594)"
"Adak Island, AK","(51.7961654, -176.5734916431957)"
"Manley Hot Springs, AK","(65.024093, -150.61952004258674)"
"Rome, NY","(43.2128473, -75.4557304)"
"Stuart, FL","(27.197983, -80.2519175)"
"Stevens Village, AK","(66.030484, -149.1100424574468)"
"Teterboro, NJ","(40.857483, -74.06003621298285)"
"Chandalar, AK","(67.5052778, -148.4936111)"
"Wrangell, AK","(56.4706022, -132.3829431)"
"Fayetteville, AR","(36.0625843, -94.1574328)"
"Yuma, AZ","(32.665135, -114.47603157249804)"
"Asheville, NC","(35.6009498, -82.5540161)"
"Helena, MT","(46.5927425, -112.036277)"
"Tatalina, AK","(65.3014084, -148.3637953)"
"International Falls, MN","(48.601033, -93.4105904)"
"Ketchikan, AK","(55.3430696, -131.6466819)"
"Bedford, MA","(52.1363806, -0.4675041)"
"Chicopee Falls, MA","(42.1520377, -72.5759218)"
"Columbus, GA","(40.0838862, -83.0765043)"
"Illinois Creek, AK","(65.1200017, -166.1652303)"
"Atlantic City, NJ","(39.3642852, -74.4229351)"
"Walla Walla, WA","(46.0667277, -118.3393456)"
"Buckland, AK","(65.9785168, -161.1268751)"
"Battle Creek, MI","(42.3192548, -85.1824269)"
"Daytona Beach, FL","(29.2108147, -81.0228331)"
"Belleville, IL","(48.8176714, 6.0982683)"
"Beverly, MA","(42.5584284, -70.8800491)"
"DuBois, PA","(41.118651, -78.7622342)"
"Decatur, AL","(39.8454163, -88.9524151)"
"East Farmingdale, NY","(40.7161787, -73.41998736044674)"
"Lancaster, PA","(40.03813, -76.3056686)"
"Unalaska, AK","(53.8722824, -166.5272262)"
"Elmira/Corning, NY","(42.1608441, -76.89199038453467)"
"Gardner, MA","(42.5823564, -71.9831716)"
"Hibbing, MN","(47.427155, -92.937689)"
"Big Creek, AK","(55.196972, -132.4009765)"
"Chalkyitsik, AK","(66.6495155, -143.7766653141537)"
"Petersburg, AK","(56.8127965, -132.95547)"
"Cape Girardeau, MO","(37.3034933, -89.5230357)"
"Cordova, AK","(60.5439444, -145.7589103)"
"Del Rio, TX","(29.3655405, -100.8946984)"
"Point Hope, AK","(68.3498679, -166.752609)"
"Portsmouth, NH","(43.0702223, -70.7548621)"
"Augusta, GA","(48.3655488, 10.8875866)"
"Arctic Village, AK","(68.131697, -145.49506707874633)"
"Bemidji, MN","(47.4785418, -94.8907869)"
"Minchumina, AK","(63.816031499999994, -152.37710349049462)"
"Newport News/Williamsburg, VA","(36.9775016, -76.42977)"
"Bend/Redmond, OR","(44.2165084, -121.2150324)"
"Rocky Mount, NC","(35.9423833, -77.7956949)"
"San Bernardino, CA","(34.8253019, -116.0833144)"
"Traverse City, MI","(44.7606441, -85.6165301)"
"St. Paul, AK","(57.1222248, -170.2750028)"
"Wichita Falls, TX","(33.9137085, -98.4933873)"
"Tuscaloosa, AL","(33.2095614, -87.5675258)"
"Yakutat, AK","(59.572734499999996, -139.57831243878087)"
"Waterloo, IA","(42.4979693, -92.3329637)"
"Rochester, MN","(44.0234387, -92.4630182)"
"Salem, IL","(44.9391565, -123.033121)"
"Hondo, TX","(29.3474121, -99.1412026)"
"Kalispell, MT","(48.202158, -114.315321)"
"La Crosse, WI","(43.8014053, -91.2395429)"
"Bozeman, MT","(45.6794293, -111.044047)"
"Lewiston, ID","(46.4195913, -117.0216144)"
"Duluth, MN","(46.7729322, -92.1251218)"
"Grand Forks, ND","(47.9078244, -97.0592028)"
"Pierre, SD","(44.3683644, -100.3511367)"
"Mason City, IA","(43.1535728, -93.2010367)"
"Dubuque, IA","(42.5006217, -90.6647967)"
"Fort Dodge, IA","(42.4974694, -94.1680158)"
"Benton Harbor/St. Joseph, MI","(42.0739913, -86.43779580047493)"
"Valparaiso, FL","(30.5085309, -86.5027282)"
"Klamath Falls, OR","(42.224867, -121.7816704)"
"Tallahassee, FL","(30.4380832, -84.2809332)"
"Alpena, MI","(45.0176181, -83.6670019)"
"Sitka, AK","(57.0524973, -135.337612)"
"Meridian, MS","(32.3643098, -88.703656)"
"Minot, ND","(48.23251, -101.296273)"
"Pasco/Kennewick/Richland, WA","(46.1729122, -119.0697308)"
"Brooks Lodge, AK","(58.5554674, -155.77832632911262)"
"Pellston, MI","(45.552789, -84.783936)"
"Binghamton, NY","(42.0987125, -75.9125262)"
"Nantucket, MA","(41.315731400000004, -70.00901408779944)"
"Eau Claire, WI","(44.811349, -91.4984941)"
"Pocatello, ID","(42.8688613, -112.4401098)"
"Presque Isle/Houlton, ME","(46.661867799999996, -68.01074889363161)"
"Circle, AK","(65.7997725, -144.16694059683294)"
"Champaign/Urbana, IL","(40.1157948, -88.241194)"
"Nenana, AK","(64.5639068, -149.0934741)"
"Watertown, SD","(44.899211, -97.115289)"
"Redding, CA","(40.5863563, -122.3916754)"
"Springfield, MO","(37.2166779, -93.2920373)"
"Hoolehua, HI","(21.1590908, -157.09484723911947)"
"Ithaca/Cortland, NY","(42.442686, -76.4699295)"
"Kobuk, AK","(66.907238, -156.8827059)"
"Missoula, MT","(46.8701049, -113.995267)"
"Tyler, TX","(32.3512601, -95.3010624)"
"Arcata/Eureka, CA","(40.9763645, -124.10842589937442)"
"Sun Valley/Hailey/Ketchum, ID","(33.670169, -95.42850117122116)"
"Lawton/Fort Sill, OK","(34.569849500000004, -98.41812229900623)"
"Hancock/Houghton, MI","(47.126871, -88.580956)"
"Texarkana, AR","(33.4254684, -94.0430977)"
"Quincy, IL","(39.9356016, -91.4098727)"
"Sault Ste. Marie, MI","(46.490586, -84.359269)"
"Lewisburg, WV","(37.8017879, -80.4456303)"
"Longview, TX","(32.5007031, -94.74049)"
"Marquette, MI","(46.4481521, -87.6305899)"
"Rifle, CO","(2.4412255, -76.6083849)"
"Butte, MT","(39.6519275, -121.5858444)"
"Martha's Vineyard, MA","(41.3918832, -70.62085427857699)"
"Port Angeles, WA","(48.118146, -123.4307413)"
"Lynchburg, VA","(37.4137536, -79.1422464)"
"Brunswick, GA","(52.3175903, 10.560215)"
"Fort Smith, AR","(35.3872218, -94.4248983)"
"Florence, SC","(34.1984435, -79.7671658)"
"Pendleton, OR","(45.672075, -118.7885967)"
"Valdosta, GA","(30.8327022, -83.2784851)"
"Elko, NV","(41.1958128, -115.3272864)"
"Fort Collins/Loveland, CO","(40.5154761, -105.0752731030216)"
"Lanai, HI","(20.830544099999997, -156.9029492509114)"
"Gainesville, FL","(29.6519684, -82.3249846)"
"Key West, FL","(24.5625566, -81.7724368)"
"Yakima, WA","(46.601557, -120.5108421)"
"Palmdale, CA","(34.5793131, -118.1171108)"
"Garden City, KS","(37.9716898, -100.8726618)"
"Casper, WY","(42.8501191, -106.3251384)"
"Rock Springs, WY","(41.5869225, -109.2047867)"
"Akron, CO","(4.6593328, -74.0751281)"
"Juneau, AK","(58.3019496, -134.419734)"
"Liberal, KS","(37.0430812, -100.920999)"
"Lake Tahoe, CA","(39.08854049999999, -120.05035277301698)"
"Gustavus, AK","(58.4128377, -135.7375654)"
"Topeka, KS","(39.049011, -95.677556)"
"Grand Island, NE","(40.924271, -98.338685)"
"Santa Maria, CA","(34.9531295, -120.4358577)"
"Bellingham, WA","(48.7544012, -122.4788361)"
"Kodiak, AK","(57.79, -152.4072222)"
"Oshkosh, WI","(44.0206919, -88.5408574)"
"North Bend/Coos Bay, OR","(43.3915968, -124.2492545)"
"Fort Dix, NJ","(40.0301105, -74.6201691)"
"Cherry Point, NC","(35.20962, -80.8321134)"
"Marion/Herrin, IL","(44.9769996, -122.962834)"
"Everett, WA","(47.9673056, -122.2013998)"
"Columbia, MO","(38.951883, -92.3337366)"
"Mt. Clemens, MI","(42.5972563, -82.8779754)"
"Charlottesville, VA","(38.0360726, -78.49973472559668)"
"Lompoc, CA","(34.6391501, -120.4579409)"
"Clarksburg/Fairmont, WV","(39.2798118, -80.3300893)"
"Bullhead City, AZ","(35.1477774, -114.5682983)"
"Greenville, NC","(35.613224, -77.3724593)"
"Kinston, NC","(35.2626635, -77.5816353)"
"Las Cruces, NM","(32.3140354, -106.7798078)"
"Hattiesburg/Laurel, MS","(31.4672, -89.3363366)"
"Bloomington, IN","(39.1993303, -86.54137223639046)"
"Manhattan/Ft. Riley, KS","(39.1687565, -96.6042984)"
"Tupelo, MS","(34.2576067, -88.7033859)"
"Muscle Shoals, AL","(34.7451786, -87.6686733)"
"Niagara Falls, NY","(43.08436, -79.0614686)"
"Muncie/Anderson/Newcastle, IN","(40.1936892, -85.3865271)"
"Jacksonville, AR","(34.8662005, -92.1101458)"
"Fort Leonard Wood, MO","(37.701139999999995, -92.16933029454009)"
"Burlington, IA","(40.8075391, -91.1129234)"
"Shelton, WA","(47.2150945, -123.1007066)"
"Worcester, MA","(42.2625621, -71.8018877)"
"Humacao, PR","(18.0905834, -65.833838)"
"Paducah, KY","(37.0833893, -88.6000478)"
"Decatur, IL","(39.8454163, -88.9524151)"
"Pago Pago, TT","(29.5534851, 34.9613526)"
"Victoria, TX","(28.8026443, -96.9766308)"
"Naples, FL","(26.1421976, -81.7942944)"
"Mayaguez, PR","(18.1762565, -67.08834484308937)"
"Marathon, FL","(24.7137524, -81.0903512)"
"San Luis Obispo, CA","(35.3540209, -120.3757163)"
"Reading, PA","(40.335345, -75.9279495)"
"Stockton, CA","(37.9577016, -121.2907796)"
"Ceiba, PR","(18.1335691, -65.5100336)"
"Flagstaff, AZ","(35.1987522, -111.6518229)"
"Kapalua, HI","(20.99490395, -156.6562339558182)"
"Kemmerer, WY","(41.7924606, -110.537711)"
"Grand Canyon, AZ","(36.0965604, -112.0984941)"
"Anderson, SC","(34.5068601, -82.6506264)"
"Koror, TT","(7.366885099999999, 134.54430649330376)"
"Utica/Rome, NY","(43.07816205, -75.5147867816779)"
"Gillette, WY","(44.290635, -105.501876)"
"Tinian, TT","(34.15809, -119.199282)"
"Cape Canaveral, FL","(28.45077, -80.52662)"
"Chico, CA","(39.7284945, -121.8374777)"
"Oxnard/Ventura, CA","(34.1976308, -119.1803818)"
"Salem, OR","(44.9391565, -123.033121)"
"Amchitka Island, AK","(51.50512225, 179.03028809045435)"
"New Bern/Morehead/Beaufort, NC","(35.1084931, -77.0441143)"
"Staunton, VA","(38.1357949, -79.08927008810585)"
"Santa Rosa, CA","(38.4404925, -122.7141049)"
"Jacksonville/Camp Lejeune, NC","(34.745425, -77.4033546)"
"Modesto, CA","(37.6390972, -120.9968782)"
"Merced, CA","(37.1641544, -120.7678602)"
"Rota, TT","(33.6253004, -117.6453352)"
"Shemya, AK","(52.72274555, 174.1003202448324)"
"Sheridan, WY","(39.3530598, -100.4576457)"
"Concord, CA","(37.9768525, -122.0335624)"
"Crescent City, CA","(41.8528065, -124.14986198309553)"
"Prudhoe Bay, AK","(70.2450108, -148.3978377)"
"Pilot Point, AK","(57.6058015, -157.70958140844692)"
"Valdez, AK","(61.1299396, -146.3493638)"
"Big Bear City, CA","(34.267886, -116.84859785319148)"
"Riverside, CA","(33.9533546, -117.3961623)"
"Eek, AK","(60.2181162, -162.0278776)"
"Sumter, SC","(33.9204354, -80.3414693)"
"Tuluksak, AK","(61.108486, -160.94683160934488)"
"Dover, DE","(39.158168, -75.5243682)"
"Terre Haute, IN","(39.4754876, -87.4099678)"
"Kongiganak, AK","(59.9587445, -162.8833074925156)"
"Akiachak, AK","(60.920213000000004, -161.4028158743655)"
"Kwethluk, AK","(60.811406, -161.4358333)"
"New Haven, CT","(41.298434349999994, -72.93102342707913)"
"Napaskiak, AK","(60.7080346, -161.7558329)"
"Akiak, AK","(60.9117846, -161.2216995)"
"Kwigillingok, AK","(59.877165500000004, -163.1495590844156)"
